2019-11-16 05:11:37.957385
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
274,0,53,63,1149276,23685,20949,3087,13826,31294,10901,1822
275,0,54,53,638996,138918,15408,7837,6606,21394,17824,1275
276,0,54,53,30678,2390,107,552,3223,452,358,198
277,26,38,38,193138,19641,619,2417,4643,893,5503,247
278,0,47,35,1198256,17306,11814,2580,39683,6305,8195,2545
279,0,34,17,13317,4058,57,648,2768,432,2320,234
280,0,34,35,1470782,17449,2528,6012,19476,24842,15566,1421
281,0,57,44,990179,19484,24836,11989,7424,8871,10542,1606
282,0,57,40,122627,13496,1645,3093,6611,1769,2488,689
283,0,80,48,1204511,44936,4814,45260,22519,21652,8008,4973
284,0,83,34,38568,11628,3108,1261,12275,2540,2573,1114
285,0,64,29,47812,11706,942,3313,5351,1681,2186,325
286,0,74,30,153278,11118,1366,6489,4731,2156,5211,437
287,0,69,17,101893,14968,6494,2897,7507,1061,5739,721
288,0,75,21,229458,4270,1653,892,3519,1340,3048,386
289,0,77,21,393686,68473,7125,21117,32411,9760,13348,916
290,0,53,24,46978,25047,1339,1589,9303,4913,3140,976
291,0,57,37,615591,17151,14884,9477,12614,9610,6722,888
292,0,53,21,1488989,147000,12926,19575,13698,5599,13938,1510
293,0,53,17,101860,36959,6913,2396,4567,3197,2630,799
294,0,74,16,1804904,52642,21377,12930,26286,10588,10850,2343
295,0,60,4,1624120,65401,7865,5889,6406,4349,8802,614
296,0,70,14,463405,19058,11693,12200,18427,4749,14483,2367
297,0,83,23,100717,3384,2088,2288,2269,1592,2355,406
298,0,81,21,1304609,61081,17067,16632,26282,8715,22628,2414
299,0,90,38,1593383,28174,15256,5058,7743,23207,9189,1109
300,0,69,41,100000,15084,927,1090,1801,3096,6317,358
301,0,56,38,512737,44478,2052,20088,51583,9771,17719,1204
302,0,53,44,62737,7844,2806,3253,11033,2854,5749,777
303,0,53,35,482957,35055,11592,8760,11167,8090,15244,563
304,0,75,34,1197611,37311,31444,7759,18296,9471,9701,757
305,0,69,24,2438168,423582,25290,63442,103407,25957,43743,2741
306,0,81,20,567108,34628,29389,8560,14644,7538,22876,618
307,0,83,17,689150,30203,13001,10808,16889,6777,14416,757
308,0,74,14,294212,61622,11033,7614,7966,6864,11889,345
309,0,94,21,500156,33456,29000,28500,18388,9774,7408,1987
310,0,93,24,1141779,35414,34072,16325,40026,14370,7091,1703
311,0,93,24,995019,93036,14760,12098,15671,10451,1996,677
312,25,93,24,1683105,71929,63409,216597,121288,89102,22666,29555
313,51,93,24,1740876,1017849,136236,19239,213568,101575,29114,11939
314,26,93,24,971491,16428,5625,18969,3973,2374,1394,2103
315,26,96,21,416525,359947,194430,124724,132965,51179,15345,7117
316,0,96,21,719090,127534,93212,69332,21115,13805,7513,1656
317,26,100,17,270604,26744,13362,2415,1959,2764,1410,433
318,0,94,23,1094063,69081,14581,28924,23055,20754,2627,4693
319,0,94,23,1940091,140505,77461,66646,31722,40343,25983,5381
320,26,96,16,2178676,566334,501984,67727,270785,70458,94669,22527
321,0,87,26,1993329,99435,27405,39050,125506,45041,10483,4629
322,0,78,37,230517,43871,8696,7590,5189,14223,4506,2088
323,0,83,40,2017341,174293,154824,46016,70173,92040,55768,5436
324,0,84,48,1654458,114345,67479,58647,17495,43032,4369,1100
325,0,84,48,682307,308407,126134,85479,151721,71257,42827,3034
326,26,84,48,1055974,240955,64052,114375,49039,46702,40122,11552
327,51,84,48,2179492,59534,38816,55806,44449,72669,16672,4328
328,51,84,48,2162370,195885,76573,90127,99517,50787,17837,5922
329,26,84,48,2069166,136923,26164,46734,107446,273625,87463,33545
330,26,84,48,694949,126123,101664,75111,31848,24127,22803,11530
