2019-11-14 04:57:30.247191
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
328,0,17,100,1213233,2045,160,2567,5149,4795,5159,212
329,26,17,100,1465999,18856,3855,3753,4515,5266,1700,433
330,26,17,100,760943,11185,436,2360,4768,2160,2002,477
331,26,38,100,1906889,25699,7455,9804,28745,7797,21756,3057
332,0,38,100,1392159,26816,4735,4263,3749,6039,2200,336
333,26,38,100,1217606,25248,8393,4227,10697,5957,2688,410
334,26,38,100,1060766,8030,1052,2575,10568,3030,7030,493
335,26,38,100,1200020,2339,788,2723,6098,1502,5110,450
336,26,38,100,961510,21182,3374,7116,21196,2163,3138,1508
337,26,38,100,1023726,50344,1880,4544,16460,15170,4655,3156
338,26,38,100,102677,5826,3321,3175,9546,6780,8832,2549
339,26,38,100,1439385,20930,8358,2558,25351,45426,59157,8822
340,26,38,100,616042,5698,1755,2214,19143,14156,1949,1593
341,26,38,100,464945,20129,3210,4728,11508,24299,1838,869
342,26,48,90,1713274,87830,11019,22291,35170,26438,13619,2152
343,0,48,90,930233,1837,2490,1830,7906,6546,2088,287
344,26,66,70,2023338,32358,15488,12631,12616,8611,5125,2271
345,0,87,56,99662,6295,346,9273,4351,3724,874,468
346,0,87,44,324762,91544,17477,14112,21199,5853,1505,887
347,0,90,44,7457,7544,2483,3008,5069,2114,230,620
348,0,93,38,1375324,132596,77977,39962,22758,17598,14105,4677
349,0,70,29,1811759,130437,2881,8919,32060,10544,2240,4828
350,0,63,30,628377,41532,3222,3445,5989,2739,792,1016
351,0,54,40,7906,1839,297,1365,8004,1696,356,392
352,0,54,40,2613755,71580,5562,11902,13131,17119,968,768
353,26,54,40,2740258,44128,9893,11474,56001,20229,19370,2695
354,26,54,40,2931009,71772,5489,37715,36843,30779,43425,4152
355,26,54,40,789065,10946,2926,6884,10438,11450,2708,1191
356,26,40,53,595936,12272,3190,2171,9567,7968,2328,715
357,0,40,53,822281,8619,2720,15038,22966,5968,5107,904
358,26,40,53,1126004,2441,2151,650,22278,18666,3286,1543
359,26,40,53,1892569,4523,2297,2414,34400,5018,3223,1845
360,26,40,53,698254,11118,3652,3010,26385,19955,4521,1917
361,26,40,53,410134,2387,2921,4202,9983,14027,4100,788
362,26,40,53,534755,3036,1849,1330,9111,24169,1211,500
363,26,40,53,744854,40869,21748,14786,16195,7229,7422,2642
364,26,40,53,501025,8540,2392,1833,11718,9425,9819,600
365,26,40,53,347956,2307,110,421,1470,5644,225,119
366,26,40,53,272985,2427,233,335,1445,7178,102,96
367,26,40,53,132020,1752,513,498,873,8373,295,51
368,26,40,53,1032014,37370,5718,9038,5771,17428,3565,379
369,26,40,53,737448,3930,1082,1447,4260,26971,645,517
370,26,40,53,1695203,6469,3975,3686,8709,36733,837,668
371,26,40,53,589445,1336,1273,3951,16283,32079,1391,728
372,26,51,66,1793770,21843,7141,7175,29695,17919,3575,1410
373,0,63,70,11881,2990,2913,1238,7040,798,128,319
